"REPORT_DT","LOCATION","ORIGIN_NM","COMMODITY","disposition"
"2020-06-11","TX Brownsville CBP","Tanzania","Gerbera","CFRP Not Inspected"
"2020-06-11","VA Dulles CBP","Netherlands","Liatris","OK Inspected"
"2020-06-12","NY JFK CBP","Mexico","Hyacinthus","OK CFRP Inspected"
"2020-06-13","FL Miami Air CBP","Mexico","Actinidia","CFRP Not Inspected"
"2020-06-13","AZ Phoenix CBP","Japan","Anemone","Pest Found"
"2020-06-14","WA Seattle Air CBP","Tanzania","Mokara","OK Inspected"
"2020-06-15","VA Dulles CBP","Tanzania","Liatris","OK Inspected"
"2020-06-15","WA Blaine CBP","Tanzania","Aegilops","OK Inspected"
"2020-06-16","WA Seattle Air CBP","Mexico","Aegilops","OK Inspected"
"2020-06-17","WA Blaine CBP","New Zealand","Anemone","OK Inspected"
"2020-06-17","WA Blaine CBP","Japan","Liatris","OK Inspected"
"2020-06-18","CA San Francisco CBP","Israel","Rosa","OK CFRP Inspected"
"2020-06-19","WA Blaine CBP","Mexico","Gerbera","CFRP Not Inspected"
"2020-06-19","VA Dulles CBP","Netherlands","Rosa","CFRP Not Inspected"
"2020-06-20","AZ Phoenix CBP","Tanzania","Gerbera","CFRP Not Inspected"
"2020-06-21","FL Miami Air CBP","Netherlands","Aegilops","OK Inspected"
"2020-06-21","TX Brownsville CBP","Israel","Anemone","OK Inspected"
"2020-06-22","TX Brownsville CBP","Mexico","Protea","OK Inspected"
"2020-06-23","FL Miami Air CBP","Tanzania","Agapanthus","OK Inspected"
"2020-06-23","WA Seattle Air CBP","India","Aegilops","OK Inspected"
"2020-06-24","VA Dulles CBP","India","Mokara","OK Inspected"
"2020-06-25","CA San Francisco CBP","New Zealand","Protea","OK Inspected"
"2020-06-25","FL Miami Air CBP","Japan","Actinidia","CFRP Not Inspected"
"2020-06-26","WA Blaine CBP","Mexico","Anemone","OK Inspected"
"2020-06-27","FL Miami Air CBP","India","Actinidia","OK CFRP Inspected"
"2020-06-27","CA San Francisco CBP","New Zealand","Protea","OK Inspected"
"2020-06-28","WA Seattle Air CBP","Tanzania","Protea","OK Inspected"
"2020-06-29","CA San Francisco CBP","India","Mokara","OK Inspected"
"2020-06-29","VA Dulles CBP","Tanzania","Rosa","CFRP Not Inspected"
"2020-06-30","AZ Phoenix CBP","Japan","Mokara","OK Inspected"
"2020-07-01","NY JFK CBP","Tanzania","Actinidia","CFRP Not Inspected"
"2020-07-01","AZ Phoenix CBP","Israel","Agapanthus","OK Inspected"
"2020-07-02","VA Dulles CBP","Tanzania","Gerbera","CFRP Not Inspected"
"2020-07-03","CA San Francisco CBP","Mexico","Hyacinthus","CFRP Not Inspected"
"2020-07-03","HI Honolulu CBP","Tanzania","Hyacinthus","CFRP Not Inspected"
"2020-07-04","NY JFK CBP","Japan","Protea","OK Inspected"
"2020-07-05","CA San Francisco CBP","Netherlands","Anemone","OK Inspected"
"2020-07-05","NY JFK CBP","India","Protea","OK Inspected"
"2020-07-06","NY JFK CBP","New Zealand","Rosa","OK CFRP Inspected"
"2020-07-07","HI Honolulu CBP","Tanzania","Hyacinthus","CFRP Not Inspected"
"2020-07-07","VA Dulles CBP","Israel","Aegilops","OK Inspected"
"2020-07-08","WA Blaine CBP","Japan","Hyacinthus","OK CFRP Inspected"
"2020-07-09","HI Honolulu CBP","Tanzania","Gerbera","OK CFRP Inspected"
"2020-07-09","CA San Francisco CBP","India","Rosa","CFRP Not Inspected"
"2020-07-10","HI Honolulu CBP","New Zealand","Mokara","OK Inspected"
"2020-07-11","CA San Francisco CBP","Mexico","Liatris","OK Inspected"
"2020-07-11","HI Honolulu CBP","Mexico","Rosa","CFRP Not Inspected"
"2020-07-12","WA Seattle Air CBP","Tanzania","Actinidia","CFRP Not Inspected"
"2020-07-13","AZ Phoenix CBP","Japan","Mokara","OK Inspected"
"2020-07-13","VA Dulles CBP","Netherlands","Hyacinthus","CFRP Not Inspected"
"2020-07-14","FL Miami Air CBP","Japan","Liatris","OK Inspected"
"2020-07-15","HI Honolulu CBP","Japan","Aegilops","OK Inspected"
"2020-07-15","FL Miami Air CBP","Netherlands","Hyacinthus","CFRP Not Inspected"
"2020-07-16","WA Seattle Air CBP","Netherlands","Anemone","OK Inspected"
"2020-07-17","TX Brownsville CBP","Netherlands","Gerbera","Pest Found CFRP Inspected"
"2020-07-17","FL Miami Air CBP","Mexico","Agapanthus","OK Inspected"
"2020-07-18","FL Miami Air CBP","Israel","Gerbera","CFRP Not Inspected"
"2020-07-19","HI Honolulu CBP","Mexico","Actinidia","OK CFRP Inspected"
"2020-07-19","WA Blaine CBP","Mexico","Aegilops","OK Inspected"
"2020-07-20","CA San Francisco CBP","Israel","Hyacinthus","OK CFRP Inspected"
"2020-07-21","CA San Francisco CBP","Mexico","Gerbera","OK CFRP Inspected"
"2020-07-21","CA San Francisco CBP","Mexico","Anemone","OK Inspected"
"2020-07-22","WA Seattle Air CBP","New Zealand","Protea","OK Inspected"
"2020-07-23","WA Blaine CBP","Japan","Rosa","CFRP Not Inspected"
"2020-07-23","AZ Phoenix CBP","Tanzania","Aegilops","OK Inspected"
"2020-07-24","AZ Phoenix CBP","India","Actinidia","CFRP Not Inspected"
"2020-07-25","AZ Phoenix CBP","Japan","Aegilops","OK Inspected"
"2020-07-25","FL Miami Air CBP","New Zealand","Actinidia","CFRP Not Inspected"
"2020-07-26","NY JFK CBP","Tanzania","Protea","Pest Found"
"2020-07-27","NY JFK CBP","Netherlands","Actinidia","OK CFRP Inspected"
"2020-07-27","AZ Phoenix CBP","Mexico","Mokara","OK Inspected"
"2020-07-28","WA Blaine CBP","Japan","Actinidia","CFRP Not Inspected"
"2020-07-29","TX Brownsville CBP","Japan","Protea","OK Inspected"
"2020-07-29","AZ Phoenix CBP","Japan","Hyacinthus","CFRP Not Inspected"
"2020-07-30","VA Dulles CBP","Israel","Mokara","OK Inspected"
"2020-07-31","AZ Phoenix CBP","Mexico","Mokara","OK Inspected"
"2020-07-31","AZ Phoenix CBP","Japan","Agapanthus","OK Inspected"
"2020-08-01","AZ Phoenix CBP","Israel","Rosa","CFRP Not Inspected"
"2020-08-02","WA Seattle Air CBP","Japan","Protea","OK Inspected"
"2020-08-02","AZ Phoenix CBP","Mexico","Rosa","OK CFRP Inspected"
"2020-08-03","TX Brownsville CBP","India","Aegilops","OK Inspected"
"2020-08-04","CA San Francisco CBP","New Zealand","Mokara","OK Inspected"
"2020-08-04","VA Dulles CBP","Israel","Actinidia","CFRP Not Inspected"
"2020-08-05","VA Dulles CBP","India","Hyacinthus","CFRP Not Inspected"
"2020-08-06","AZ Phoenix CBP","Netherlands","Rosa","OK CFRP Inspected"
"2020-08-06","NY JFK CBP","Israel","Mokara","OK Inspected"
"2020-08-07","WA Blaine CBP","New Zealand","Mokara","OK Inspected"
"2020-08-08","WA Seattle Air CBP","New Zealand","Anemone","OK Inspected"
"2020-08-08","WA Seattle Air CBP","Japan","Anemone","OK Inspected"
"2020-08-09","CA San Francisco CBP","Netherlands","Hyacinthus","CFRP Not Inspected"
"2020-08-10","WA Blaine CBP","India","Actinidia","CFRP Not Inspected"
"2020-08-10","NY JFK CBP","Israel","Gerbera","CFRP Not Inspected"
"2020-08-11","VA Dulles CBP","India","Liatris","OK Inspected"
"2020-08-12","TX Brownsville CBP","New Zealand","Mokara","OK Inspected"
"2020-08-12","WA Blaine CBP","Netherlands","Actinidia","CFRP Not Inspected"
"2020-08-13","CA San Francisco CBP","Tanzania","Protea","OK Inspected"
"2020-08-14","CA San Francisco CBP","Mexico","Liatris","OK Inspected"
"2020-08-14","CA San Francisco CBP","India","Actinidia","CFRP Not Inspected"
"2020-08-15","WA Seattle Air CBP","Mexico","Actinidia","OK CFRP Inspected"
"2020-08-16","WA Blaine CBP","Japan","Hyacinthus","OK CFRP Inspected"
"2020-08-16","HI Honolulu CBP","Mexico","Anemone","OK Inspected"
"2020-08-17","NY JFK CBP","New Zealand","Agapanthus","OK Inspected"
"2020-08-18","HI Honolulu CBP","Israel","Actinidia","CFRP Not Inspected"
"2020-08-18","WA Seattle Air CBP","Israel","Liatris","OK Inspected"
"2020-08-19","HI Honolulu CBP","Tanzania","Aegilops","OK Inspected"
"2020-08-20","AZ Phoenix CBP","India","Hyacinthus","OK CFRP Inspected"
"2020-08-20","NY JFK CBP","India","Agapanthus","OK Inspected"
"2020-08-21","WA Seattle Air CBP","Mexico","Gerbera","OK CFRP Inspected"
"2020-08-22","CA San Francisco CBP","Japan","Liatris","OK Inspected"
"2020-08-22","WA Seattle Air CBP","India","Actinidia","CFRP Not Inspected"
"2020-08-23","FL Miami Air CBP","Israel","Agapanthus","OK Inspected"
"2020-08-24","VA Dulles CBP","Netherlands","Protea","OK Inspected"
"2020-08-24","VA Dulles CBP","New Zealand","Gerbera","CFRP Not Inspected"
"2020-08-25","AZ Phoenix CBP","New Zealand","Mokara","OK Inspected"
"2020-08-26","CA San Francisco CBP","Japan","Mokara","OK Inspected"
"2020-08-26","TX Brownsville CBP","Israel","Protea","OK Inspected"
"2020-08-27","WA Blaine CBP","Mexico","Gerbera","CFRP Not Inspected"
